,author,rating,title,content,date,verified,image_url,Actual_Label,sentiment,Adjacent_Words,Positive_Count,Negative_Count
233,John R. Henderson,1.0,This camera is impossible to operate.,"
We have gone through the included manual, followed instructions on-line, as well as YouTube instructions.  Even a professional photographer was unable to connect it with our WiFi in our house (we DO have WiFi, and have no problem with other devices.  It was a total waste of over $500.  We'd return it but due to having COVID, we ran over the deadline and now seem stuck with this sham of a camera.
","Reviewed in the United States on September 20, 2022",Verified Purchase,,0,-0.15,,0,0
91,Amazon Customer,5.0,,"
Fácil de utilizar, liviana, tecnología de primera. Recomendada para todo usos.
","Reviewed in the United States on September 18, 2023",Verified Purchase,,1,0.0,,0,0
185,Rich Suplita,3.0,Does NOT have 3.5mm jack for external audio!,"
I cannot use this and will return it. This camera does NOT include what you would think would be the standard 3.5mm jack for external audio that most people want to use for their videos, especially if you're doing any filming outdoors.It's extremely frustrating that this feature is not included. I think it needs to be made very obvious up front that this feature is not available or even compatible for this camera. You cannot even buy an adapter to make it work.If you are wanting to use external audio at all, then this is not the camera for you. Virtually all of the other similar Canons (and DSLR cameras from other manufacturers) include this standard. It's like air conditioning in a new car. Why would you expect any model NOT to have this feature.(Can you tell I'm frustrated?)
","Reviewed in the United States on September 11, 2020",Verified Purchase,,0,-0.06525974025974025,car,0,0
94,Sam Giordano,5.0,It's A Great Camera!,"
I love this camera and it was way better than my old camera!
","Reviewed in the United States on September 10, 2023",Verified Purchase,,1,0.375,old,0,0
239,Hunter Truesdale,1.0,SENT A DEAD CAMERA,"
Charged the battery till light turned green only to find out the camera shutter was glitching back and forth and no display along with no button functionality. So basically nothing worked at all and it was delivered to me this way... Replacement has been ordered. Only thing I can have a good rating would the customer support. Seems as if they sent me a returned camera or a bad one in general not sure what happened here. At this price though I was sweating bullets and really hate to have to go through sending one back and getting a replacement..
","Reviewed in the United States on September 1, 2021",Verified Purchase,,0,-0.07272727272727272,"returned, rating",0,0
58,B. Piersel,5.0,Takes great pictures and video,"
I previously had an older Canon DSLR, so I got another one to upgrade the features while keeping the same accessories (a couple of lenses). It takes great pictures. I took it on a trip to the Black Hills in South Dakota and was impressed by the photos. I highly recommend this camera, as it is easy for beginners but full-featured enough for more experienced photographers.
","Reviewed in the United States on October 7, 2023",Verified Purchase,,1,0.32060606060606056,"pictures, older, beginners",0,0
68,Barbara Ann,5.0,great camera,"
I bought this camera for my interest in photography. This camera is very beginner friendly. I love the fact that you can upload the images straight from the camera to your phone or computer. It's very easy to do.
","Reviewed in the United States on October 6, 2023",Verified Purchase,https://m.media-amazon.com/images/I/61IZlzkLFhL._SY88.jpg,1,0.3676666666666667,,0,0
77,Lynne ,5.0,Thank you,"
Love Love Love, my camera. I am new at photography; this camera makes me look good! Easy to use, perfect for a beginner.
","Reviewed in the United States on October 5, 2023",Verified Purchase,,1,0.5635281385281384,"easy, new, photography",1,0
112,DIOGENES MEDINA,4.0,,"
POCA INFORMACION
","Reviewed in the United States on October 30, 2023",Verified Purchase,,1,0.0,,0,0
279,Bradford L,1.0,A joke from Canon,"
I just bought one of these. Big mistake. The hot shoe is lacking a main center contact making it only able to use canon flash units. You cannot even use a flash in manual mode because of this. It also means that any kind of wireless flash triggers are rendered useless. Couple that with no interior contact pins for full interface with a battery grip and this thing is a waste of money. My old Rebel XS is way ahead of this new turd. Canon. You let me down with this trickery.
","Reviewed in the United States on October 30, 2019",Not Verified,https://images-na.ssl-images-amazon.com/images/I/71kWrV9C2eL._SY88.jpg,0,0.08826728826728827,turd,0,0
197,Live,3.0,No flip view,"
Not what I thought it was
","Reviewed in the United States on October 29, 2021",Verified Purchase,,0,0.0,,0,0
72,Chris,5.0,Excellent buy,"
Love this camera! Pack it everywhere I go!
","Reviewed in the United States on October 28, 2023",Verified Purchase,,1,0.78125,,0,0
34,LuckyMe,5.0,Beautiful photos,"
Not hard to use but it is a little heavy for someone who might have troubles with strength in their arms or hands. It takes beautiful photo's but most important to me was getting acurate photo's of animals eyes which it does very well. I really love that the photos can transfer to my cell phone and be back up or shared immediately. The camera bag is okay but lacks in any storage for accessories and does not really make me feel as though it would protect the camera from the top so I bought a separate bag as well. It comes with a battery and charger. Changing the lens was very simple and quick.
","Reviewed in the United States on October 28, 2023",Verified Purchase,https://m.media-amazon.com/images/I/61LH0893p7L._SY88.jpg,1,0.24583333333333332,,0,0
146,Jeffery A. McCracken,4.0,review,"
Purchased for my daughter as a beginning entry level camera. Easy to use
","Reviewed in the United States on October 28, 2022",Verified Purchase,,1,0.43333333333333335,,0,0
265,Amazon Customer,1.0,Poor product,"
This product is old, poor, and broken.  It also smell worse.  It's not in very good condition. It's in very bad condition.
","Reviewed in the United States on October 28, 2020",Verified Purchase,https://images-na.ssl-images-amazon.com/images/I/71Idk7s3E4L._SY88.jpg,0,-0.18333333333333335,condition,0,0
40,Dee,5.0,So far so good!,"
I’ve been wanting this camera for awhile now but was back and forth because of the reviews. But for a beginner camera I think it’s amazing. All the negative reviews seem to just want a more expensive camera or just don’t want to take the time to understand the machine they’ve bought. I think it’s great and you get what you pay for I’m so excited to keep learning new things about this camera and increasing my skills and knowledge about photography.
","Reviewed in the United States on October 27, 2023",Verified Purchase,https://m.media-amazon.com/images/I/612HjChQtiL._SY88.jpg,1,0.20142045454545454,"expensive, things",0,1
249,Christina Lopez,1.0,Can't Wi-Fi transfer videos,"
I literally purchased this for the sole purpose of being able to drop videos from the camera to an iPhone or iPad, and I have just learned after unpacking it and trying to utilize it for my students, that it is NOT POSSIBLE and the videos must first be transferred via USB to a computer, and then emailed to the phone. I am extremely disappointed by this.
","Reviewed in the United States on October 26, 2021",Verified Purchase,,0,0.0,,0,0
193,Jesse,3.0,Simply Clear,"
Just simply put - the picture quality was top class with the given lens. There's more to offer for people who wants to go more deeper into photography but also very easy for beginners. If you are just looking to take good pictures this is the camera for.
","Reviewed in the United States on October 26, 2021",Verified Purchase,,0,0.4233333333333333,"pictures, top, deeper, beginners",1,0
69,Rob Weber,5.0,Perfect,"
Shipping was on time. Camera is in perfect condition. My XSI had error 99 so I replaced it with the T7. The T7 is a much better camera. Very happy with everything.
","Reviewed in the United States on October 24, 2023",Verified Purchase,https://m.media-amazon.com/images/I/81GQXx24c7L._SY88.jpg,1,0.8333333333333334,better,1,0
98,Dennis,5.0,Good for casual users,"
Good price
","Reviewed in the United States on October 24, 2023",Verified Purchase,,1,0.7,good,1,0
188,Kidane Tesfu,3.0,Delayed Refund,"
I returned the product since the picture quality was not worth of the  camera price. But Amazon didn't refund the amount yet, though the amount is big not sure they delayed. The product was returned as it is with no damages or changes.
","Reviewed in the United States on October 24, 2022",Verified Purchase,,0,-0.13333333333333333,,0,0
232,CAP,1.0,A cheap sale because…,"
this camera didn’t even come with a memory card! Just the body is all. It was useless to me and I sent it back.
","Reviewed in the United States on October 23, 2023",Verified Purchase,,0,-0.25,,0,0
82,Gaudencio José,5.0,,"
Excelente producto, llegó muy en buenas condiciones
","Reviewed in the United States on October 22, 2023",Verified Purchase,https://m.media-amazon.com/images/I/7108yLWEqVL._SY88.jpg,1,0.0,,0,0
80,Sheli Loza,5.0,Love this camera,"
Just started a new photography class. Great size and the battery last long. Great pics from Manual mode to Auto mode. Worth the price.
","Reviewed in the United States on October 22, 2023",Verified Purchase,,1,0.3310606060606061,"new, photography, class, last, long",0,0
247,J Reno,1.0,Camera,"
This camera is junk.  Not worth the money!!!!
","Reviewed in the United States on October 2, 2023",Verified Purchase,,0,-0.3662109375,,0,0
270,Nanette Moffett,1.0,Poor camera and poor Amazon return procedure,"
Terrible return process from Amazon and camera is a piece of junk
","Reviewed in the United States on October 18, 2022",Verified Purchase,,0,-1.0,,0,0
204,Ash Ronin,2.0,I would never order another one of these without the flip out screen,"
For my use, not having a flip out screen really killed my enjoyment of this product.
","Reviewed in the United States on October 17, 2023",Verified Purchase,,0,-0.2,,0,0
89,Bonnie Doerfler,5.0,Timely arrival.,"
Exactly what I expected the product to be.
","Reviewed in the United States on October 17, 2023",Verified Purchase,,1,0.075,,0,0
105,Alison,4.0,Beautiful photos,"
This camera takes beautiful photos and is easy to use for a beginner. Just know that the basic lens that comes with it isn’t going to give you much zoom. Like, your iPhone will zoom closer to distant subjects. Took this camera on a safari in Africa and some of the people in my group got better shots with their phones of animals that were far away. My photo quality was better for things that were nearby though. And it’s no contest in low light. Just know that you’re going to want different lenses for different settings and they are not cheap. Worth it if you’re using a camera regularly though.
","Reviewed in the United States on October 14, 2023",Verified Purchase,,1,0.19888888888888887,beautiful,1,0
53,Brittany,5.0,Great Camera,"
I was looking for a good camera to use on a safari for a beginner! This was perfect! Very easy to use and learn! Takes amazing photos! If you are planning on taking photos from far away you’ll want to get an extra lens (which is worth it)! Photos turned out great! Very easy to connect the camera to your phone to download photos! Highly recommend!
","Reviewed in the United States on October 13, 2023",Verified Purchase,,1,0.5708333333333334,"good, camera, extra",1,0
66,BeeKnee,5.0,Great camera,"
Bought this camera for wildlife photography. I'm fairly new to the world of photography & this camera offers a little bit of everything for all skill levels. Great camera for the price. I would highly recommend this camera to anyone.
","Reviewed in the United States on October 13, 2023",Verified Purchase,,1,0.20177272727272727,,0,0
277,camme,1.0,Too slow on auto focus!!!!,"
I ordered this camera from Walmart because it was on sale. On auto focus it took about 10 to 25 seconds to snap the pic, and on manual they were a little blurry. You're cell phone will take better pics. I returned for a full refund, including the warranty.
","Reviewed in the United States on October 12, 2023",Not Verified,,0,0.22083333333333333,,0,0
79,Curtis Eidson,5.0,So simple to use,"
Great starter camera for someone looking to capture moments with family. So glad I made this purchase.
","Reviewed in the United States on October 10, 2023",Verified Purchase,,1,0.65,,0,0
191,sam,3.0,No parts included,"
This camera does not come with a flash, Memory card or a case. Plan on spending a lot more money as this package is a Skelton
","Reviewed in the United States on October 10, 2022",Verified Purchase,,0,0.5,,0,0
65,Alexis Lowery,5.0,BUY THIS CAMERA!,"
This is my second Canon camera & I absolutely love it! It is so easy to use and there are so many features that make your pictures look so good! I highly recommend!
","Reviewed in the United States on November 8, 2023",Verified Purchase,https://m.media-amazon.com/images/I/71HTF4lZrHL._SY88.jpg,1,0.43888888888888894,"second, second",0,0
196,Pen Name,3.0,Not so great,"
The camera takes long to focus on a subject whether it’s a picture taken inside or outside, the camera should Atleast come with and SD card since it comes with a case and two lenses, i noticed my camera freezes up when i want to switch up the shooting mode
","Reviewed in the United States on November 7, 2020",Verified Purchase,,0,-0.07222222222222223,,0,0
71,kjb,5.0,Great gift,"
I bought this as a gift for my wife and she loves it
","Reviewed in the United States on November 6, 2023",Verified Purchase,,1,0.0,,0,0
248,Lila,1.0,Slow hard to operate,"
Got this for my baby’s quinceañera photos and this is that hardest camera to operate not to mention it’s super slow. I was convinced it was a good camera based on the reviews but no.
","Reviewed in the United States on November 6, 2022",Verified Purchase,https://m.media-amazon.com/images/I/71umhC-TLnL._SY88.jpg,0,0.24444444444444438,"hardest, good, camera",1,0
128,just p,4.0,Great beginner camera!,"
Great beginner camera and served its purpose for our family trip. Some of the functions are hard to use and really understand especially if you know nothing about camera or photography but after a few YouTube videos I've got most of it. The video feature sucks but if you've done your research on this camera beforehand like I did then you would know this is not the camera for that so I'm not that disappointed. Overall a good buy.
","Reviewed in the United States on November 6, 2022",Verified Purchase,,1,0.06583333333333333,buy,0,0
141,nee cloteykine,4.0,Great camera for newbies and photo enthusiast,"
This is great camera for any photo enthusiast. Plenty of useful functionality for the price. Easy to use and takes great pictures
","Reviewed in the United States on November 6, 2022",Verified Purchase,,1,0.5833333333333334,"great, camera, pictures",1,0
140,nctjc,4.0,Cheaper than a mirror less camera,"
This does the job. Bit of a learning curve, but you will be happy, I think with the results. I’d recommend getting a couple spare batteries too.
","Reviewed in the United States on November 5, 2022",Verified Purchase,,1,0.8,,0,0
165,Paris37,4.0,Great product for a beginner,"
This was my first camera that I ever brought and it happen to be a Canon T7 DSLR. I took a lot of photo before I got better and the first thing I was told to do when buying a camera is to learn the camera practice, practice, practice don’t be Andreas to make mistakes and learn as much as you can while using the Manuel setting. Plus these photos I took are edited by me nothing to crazy. The only down fall about this particular camera model is that the hot shoe where you can mount a external flash on top of the camera don’t give you that access. You will have to buy an flash trigger to use an external flash
","Reviewed in the United States on November 4, 2022",Not Verified,https://m.media-amazon.com/images/I/516WV8RFKXL._SY88.jpg,1,0.11342592592592593,"first, particular",0,0
3,Katie Bevacqua,5.0,Great DSLR for beginners and non,"
Love this camera - I have been able to take some amazing photos using this and I have little to no experience with DSLR. I have spent a few ours learning about some settings which I highly recommend - aperture and f stop plus ISO so I have been using this camera on manual settings. I recommend keeping the camera settings on Raw but just keep in mind when you do that using the app to transfer photos to your phone will take an extremely long time.The battery is extremely long lasting. I have been able to use the camera for several uses before needing to charge it. I bought the 50mm lens with this and wow. The lens that comes with it is great, but don't neglect all of the other lenses you can buy. This is a much easier camera to use than other DSLRs as my photographer that we use told me. If you are just getting into using one of these, you're in the right place with this model.Some examples of photos I took as reference.
","Reviewed in the United States on November 30, 2023",Verified Purchase,https://m.media-amazon.com/images/I/51XZbtulh7L._SY88.jpg,1,0.13565500289184498,"manual, several, easier, long",1,0
110,toni,4.0,Solid Entry Level DSLR,"
I've done semi-professional photography for over 10 years now. This is a solid camera for taking product shots with a controlled light source, or a step up from your mobile camera. i was looking for decent camera to take with me to shoot events and family gatherings and my old NIKON was over 10 years old.Pros:Weight: Super Light camera. Doesn't feel like a terrible weight to carry around on your neck.This is important if you carry around on vacation or to family events.Value: The two lens deal offered on black Friday was well worth it - TheEF 75-300mm Lens sells for at least $200 by itself.Easy to Use: The EOS Rebel is a solid camera with lots of abilities and the menus are really easy to use.Cons:WIFI: The Wifi settings are clunky. I don't need to attach to a mobile phone -- a computer would be a better choice IMHO.Cheap Button: Canon has never upgraded the stupid small plastic button to extract the SD cards and battery. Years ago I had to use a tweezer after breaking this off for another Rebel.Overall: I've got a speedlight on order -- I think if you want to get decent shots indoors without using a controlled studio lighting, you'll need additional flash power. Outside, the clarity of the photos using Auto Focus on a wriggly dog is fantastic.
","Reviewed in the United States on November 30, 2022",Verified Purchase,https://m.media-amazon.com/images/I/41HaB8JLaDL._SY88.jpg,1,0.057017543859649134,"solid, mobile, decent, solid, semi-professional, use.cons, mobile",3,0
37,Patrice0835,5.0,Beginners and backup camera,"
Like the WiFi, nice feature. Like that this is much lighter than my 5d mark II with canon IS, L glass 70 to 300 zoom. This is several pounds lighter. Pushes decent ISO/ASA speed with pretty decent noise control. My daughter is borrowing it now for some point and shoot pics but I’m looking forward to getting it back.
","Reviewed in the United States on November 28, 2023",Verified Purchase,,1,0.19761904761904764,,0,0
59,tony andrade,5.0,Start With This One,"
I have many cameras but needed something basic to start teaching my grandson the basics with. This is a gem. Lightweight, simple controls, simple to use, 27 mega pixels. You're all set!
","Reviewed in the United States on November 24, 2023",Verified Purchase,,1,0.125,,0,0
107,CDC,4.0,Nice Camera,"
This is my first Canon DSLR camera & I have a lot to learn...but Canon makes it easy w/ all the important buttons on the camera. Would highly recommend the seller 'Zawdio'. Great customer service & the camera arrived quickly & was very well packaged.
","Reviewed in the United States on November 24, 2023",Verified Purchase,,1,0.36809523809523814,first,0,0
106,Jasmine,4.0,A Beginner's Review,"
Now, just for some context, I've never even held a ""fancy camera"" (what I'm calling anything above the little handheld digital cameras) It was a little hard for me to figure out the setting and how to use it, but I watched some YouTube videos and got a slight grasp of everything. For some reason the camera will tend to not focus and actually take the picture. It ends up with me awkwardly yelling at my family to hold their pose until the camera will finally decide to click, but I'm going to blame the focusing issue on me lacking knowledge on how to actually use a camera. Another issue I have with the camera is the photo transfer feature (the thing that hooked me into getting this camera was the fact that it could easily transfer photos from your camera to your phone): it's a little annoying to have to go into the settings to even begin a transfer and make sure both the camera and your phone are connected under the same wifi and once you're there the camera is left on a blank screen which makes me scared I'm gonna mess something up. Last minor complaint, I promise. The picture I added with that black kitten, it was actually really hard for the camera to decide to take that picture for some reason, like the lighting wasn't good enough so I had to put my camera light over her just for camera to see there was a subject to aim at and for the flash to go off. Now overall I'm happy with the camera. I love the photos I took with it and I think I just need some more practice with it. It makes me feel like I'm a little professional photographer even though I have no plans of making them look like legit photos one would take.Update 12/2/22I'd recommend getting a backup battery. It does have a decent battery but there are times when I'm in the middle of using it and it needs a charge. Getting the battery to fill takes maybe a couple hours. Side note, *facepalm* there's literally a low lighting mode on the camera. It'll do a short flash to brighten up the subject/area and then it'll take the picture. Getting the camera to focus is still a slight issue for me but it's not as bad as it was when I was first settling in with it.
","Reviewed in the United States on November 24, 2022",Verified Purchase,https://m.media-amazon.com/images/I/615ArtnY0ZL._SY88.jpg,1,-0.006874999999999992,"fancy, decent",2,0
161,AS,4.0,Value for money,"
Very good product.  Quality and value for money.
","Reviewed in the United States on November 22, 2020",Verified Purchase,,1,0.9099999999999999,product,0,0
133,Kaylee Hinshaw,4.0,Great for Beginners,"
I just started out with my photography business and I love this camera! Definitely do your research when it comes to how it works and fine tuning the settings to work in your favor. Overall very easy to use and set up. Highly recommend for any first time photographers looking to get quality pictures for a decent price!
","Reviewed in the United States on November 21, 2022",Verified Purchase,,1,0.27791666666666665,"pictures, first, decent",1,0
70,Precious Nielsen,5.0,Camera,"
Great product and good seller.
","Reviewed in the United States on November 18, 2023",Verified Purchase,,1,0.75,"product, seller",0,0
168,Thomas B.,4.0,Great starter camera.,"
4 stars because it should at least come with a cable of some kinda to connect to a laptop. For the price and considering it's not old it really should have a type c plug in but it does not. Over all very nice camera to start up photography this is the one people will tell you to buy if your trying to be legit photographer.
","Reviewed in the United States on November 18, 2021",Verified Purchase,,1,0.15750000000000003,nice,1,0
28,Jane Hinrichs,5.0,Thrilled with this camera,"
You get what you pay for -- if you want a great camera make the investment in this one (and don't forget the batteries, the charger and a good SD card). My daughter is starting a photography business and needed a really good camera. We chose this one for her and she is thrilled with it. It can be a bit daunting for a beginner, but the auto focus feature really helps with that. I love the lenses this camera comes with along with the bag to put it all in.
","Reviewed in the United States on November 17, 2023",Verified Purchase,,1,0.5000000000000001,"great, good, sd, card, camera, camera, good",3,0
32,Amazon Customer,5.0,Love it!,"
I got this so that I could take pictures of my art and upload it online. The quality of pictures is excellent. I followed the advice of a Pinterest account that recommended this camera for beginners to Professionals due to the ease of use, ability to improve the camera lens, and overall adaptability.  I would agree with all of that and also state that I love the ease of uploading my art online. When using my camera phone, my art just didn’t look the same as in person, but when using this camera it absolutely up’d my game.  I highly recommend this camera.
","Reviewed in the United States on November 16, 2023",Verified Purchase,,1,0.16214285714285714,,0,0
56,Nilasree Dutta,5.0,Nice entry level camera,"




                    The media could not be loaded.
                



I liked how lightweight the camera is. Given the amount of features it has, its quite reasonably priced. I also love its remote capture capability, and easy integration with smartphones. The UI is a bit dated, but that's fine, its not user-unfriendly. The lens is also pretty decent. I wish it had more zoom though.
","Reviewed in the United States on November 13, 2023",Verified Purchase,,1,0.3296296296296296,"lightweight, integration",0,0
256,Joshua Schneiderkoosmann,1.0,NOT a professional camera.,"
This is NOT a professional camera. It's okay to start with, but video quality is way below what you'd consider standard for today. Hard to find the manual settings.
","Reviewed in the United States on November 11, 2022",Verified Purchase,,0,0.03958333333333333,"professional, video",0,0
142,dawite,4.0,My very first camera and love it,"
Here is my Honest review my very first camera and it work nice love it..
","Reviewed in the United States on November 11, 2022",Verified Purchase,,1,0.50625,first,0,0
180,Rain,3.0,Just okay,"
Not great is all I can say.  It's okay...
","Reviewed in the United States on November 1, 2023",Verified Purchase,,0,0.04999999999999999,,0,0
203,Amazon Customer,2.0,Not Happy With the Product,"
Camera came with no cables no accessories at all, not being able to connect an external mic really pisses me off to no end. I waste my money on this and will have to eat this cost as it is useless for my video production.My bad, that I did not research this product better. I won't make that mistake again
","Reviewed in the United States on May 31, 2023",Verified Purchase,,0,-0.028571428571428564,,0,0
149,J.F,4.0,No auto focus during movie mode,"
Great if you are going to just use it for photography.  However, focus would be fixed on movie shooting mode.
","Reviewed in the United States on May 30, 2022",Verified Purchase,,1,0.45,,0,0
273,Samantha Medina,1.0,Really?,"
Sim card isnt included.....wth
","Reviewed in the United States on May 30, 2021",Verified Purchase,,0,0.0,,0,0
186,Jack Conte,3.0,Will not accept additional Canon Lenses,"
Have additional lenses that this Model Canon will not accept.
","Reviewed in the United States on May 3, 2023",Verified Purchase,,0,0.0,,0,0
263,Wayne Smith,1.0,Basic,"
Can do
","Reviewed in the United States on May 27, 2023",Verified Purchase,,0,0.0,,0,0
117,Erin,4.0,Great camera for the price!,"
I'm so happy I got this camera. It's easy for beginners and if your like my that has minimal knowledge about these cameras it's pretty easy to learn. There are a lot of YouTube videos that'll help you learn some tricks that are beyond the auto setting that's really help. I'm definitely going to get a lense that lets you zoom in more but for the price you can't get any better. You can also hook it up to your phone through wifi and take photos from there or upload straight from the camera to your phone.
","Reviewed in the United States on May 26, 2023",Verified Purchase,,1,0.32166666666666666,beginners,0,0
211,Ryan King,2.0,No 3.5mm jack and lacks basic features,"
There is no microphone jack, clean HDMI output, or other basic features that any $400 camera in 2023 should have. Takes great photos and videos.
","Reviewed in the United States on May 25, 2023",Verified Purchase,,0,0.2604166666666667,"takes, photos",0,0
184,Thomas B Short,3.0,The telephoto lens broke.,"
The lens broke after less than 9 months of normal use.
","Reviewed in the United States on May 24, 2023",Verified Purchase,,0,-0.008333333333333331,normal,0,0
92,H&H Custom Fab,5.0,Best camera for beginners!!,"
If you want a camera to take amazing shots and have no clue where to start, start with this one!!Will take some Amazing shots on its own, and you can learn as you go!I absolutely love this camera.  Battery life is amazing alsoThis camera is not made for taking videos! Do not try. It won't work
","Reviewed in the United States on May 24, 2023",Verified Purchase,https://m.media-amazon.com/images/I/61ENTi9fKTL._SY88.jpg,1,0.6100000000000001,alsothis,0,0
276,Saytek,1.0,Too expensive for a cheap camera,"
Returned, no good
","Reviewed in the United States on May 2, 2021",Verified Purchase,,0,-0.35,,0,0
126,RAG Clips,4.0,Great camera for beginners,"
My first camera and it’s fairly straight forward and takes great photos with the stock lens.
","Reviewed in the United States on May 14, 2023",Verified Purchase,,1,0.4166666666666667,"first, photos",0,0
268,Abdilselam B.,1.0,Not come with the batteries. I had to order separately the battery.,"
I don’t like it. It doesn’t come with the whole package.
","Reviewed in the United States on May 1, 2022",Verified Purchase,,0,0.2,,0,0
7,Edward,5.0,,"
Muy complacido con el combo de dos lentes, cámara y estuche.  Todo funciona perfectamente.  Excelente opción para principiantes en fotografía.Tomar en cuenta que el paquete es de tamaño considerable, y utilizar el servicio de Locker se me presentó muchos problemas de disponibilidad (cinco intentos de entrega).  Por tal motivo tuve que devolver la compra y realizar otra con entrega al lugar que me encontraba temporalmente, y todo salio mejor y dispuse de este artículo.  Muy complacido.
","Reviewed in the United States on March 9, 2024",Verified Purchase,,1,0.1,,0,0
236,Emily H.,1.0,Doesn’t work,"
All the SD cards I buy don’t work in this. Even the ones that are formatted for it. Talk about a complete waste of time waiting on the shipping, a complete waste of time that I couldn’t get it to work as I waited for SD card after SD card to come in the mail; and talk about wasted money on junk. Do not buy.
","Reviewed in the United States on March 8, 2023",Verified Purchase,,0,-0.08,,0,0
